name,address,price
"House For Sale @ Dadathok Lubhu Lalitpur : House For Sale In Lubhu, Lalitpur",Lalitpur,11000000
"Newly Constructed : House For Sale In Imadol, Lalitpur",Lalitpur,22000000
"House For Sale In Imadol, Lalitpur",Lalitpur,18500000
"Newly Built House : House For Sale In Imadol, Lalitpur",Lalitpur,21000000
"Imadol, Swastik Tole House On Sell : House For Sale In Imadol, Lalitpur",Lalitpur,17500000
"House For Sale -Nakkhudol Bhaisepati : House For Sale In Nakhundol, Lalitpur",Lalitpur,25000000
"One And Half Storied : House For Sale In Imadol, Lalitpur",Lalitpur,12500000
"Modern Designed : House For Sale In Imadol, Lalitpur",Lalitpur,19500000
"House For Sale In Imadol, Lalitpur",Lalitpur,22000000
"House For Sale In Imadol, Lalitpur",Lalitpur,21500000
"Newly Built : House For Sale In Imadol, Lalitpur",Lalitpur,19500000
"House For Sale In Imadol, Lalitpur",Lalitpur,19000000
"House For Sale In Imadol, Lalitpur",Lalitpur,18000000
"Somaney : House For Sale In Imadol, Lalitpur",Lalitpur,21000000
"2 And Half Floor House Is On Sale In Imadole : House For Sale In Imadol, Lalitpur",Lalitpur,23500000
"1.5 Storied House : House For Sale In Imadol, Lalitpur",Lalitpur,12500000
"1.5 Storey House : House For Sale In Tikathali, Lalitpur",Lalitpur,12500000
"Residential : House For Sale In Imadol, Lalitpur",Lalitpur,19000000
"Commercial / Residential Land : Land For Sale In Imadol, Lalitpur",Lalitpur,3500000
"Office Space For Rent At Imadol Prime Area : Flat For Rent In Mahalaxmi Nagarpalika, Lalitpur",Lalitpur,35000
"Flat For Rent In Imadol, Lalitpur",Lalitpur,25000
"Apartment Rent In Sanepa : Apartment For Sale In Sanepa, Lalitpur",Lalitpur,115000
"Apartment Sale In Sanepa : Apartment For Sale In Sanepa, Lalitpur",Lalitpur,35000000
"Flat For Rent In Jhamsikhel, Lalitpur",Lalitpur,35000
"Hattiban Town Planing : Land For Sale In Hattiban, Lalitpur",Lalitpur,3500000
"Brand New Apartment For Sale At Janta Awash Bhaisepati : Flat For Sale In Bhaisepati, Lalitpur",Lalitpur,16500000
"House For Rent At Hattiban : House For Rent In Hattiban, Lalitpur",Lalitpur,60000
"House For Rent Near Manbhawan : House For Rent In Kumaripati, Lalitpur",Lalitpur,120000
"Land For Sale In Imadol, Lalitpur",Lalitpur,3000000
"Business For Sale In Patan, Lalitpur",Lalitpur,3500000
"Apartment For Sale In Jhamsikhel, Lalitpur",Lalitpur,11900000
"House Sale In TIkathali : House For Sale In Tikathali, Lalitpur",Lalitpur,21500000
"Godawari_Badikhel Pitched Road Touching House For Sell_ 5 Anna Land : House For Sale In Godawari, Lalitpur",Lalitpur,12500000
"House For Sale In Imadol, Lalitpur",Lalitpur,22000000
"1.5 Storey House : House For Sale In Tikathali, Lalitpur",Lalitpur,11000000
"लुभु लामाटार बुढाथोकी टोलमा ५ आना सस्तो जग्गा तु. बिक्रिमा : Land For Sale In Lubhu, Lalitpur",Lalitpur,900000
"1.5 Storey House : House For Sale In Imadol, Lalitpur",Lalitpur,13000000
"House On Rent At Pulchowk : House For Rent In Pulchowk, Lalitpur",Lalitpur,300000
"Banglow For Sale : House For Sale In Bhaisepati, Lalitpur",Lalitpur,31500000
"House For Sale : House For Sale In Harisiddhi, Lalitpur",Lalitpur,18000000
"House For Rent In Prime Location (Near Satdobato, In Front Of Ring Road) : House For Rent In Mahalaxmisthan, Lalitpur",Lalitpur,100000
"House On SALE In Dhapakhel : House For Sale In Dhapakhel, Lalitpur",Lalitpur,25600000
"Full Furnished House For Rent At Jawakhel : House For Rent In Jawalakhel, Lalitpur",Lalitpur,78000
"11 Ana House For Sale At Bagdol : House For Sale In Baghdol, Lalitpur",Lalitpur,39000000
"House On Rent At Vinayak Colony : House For Rent In Bhaisepati, Lalitpur",Lalitpur,75000
"Ghar Bikrima : House For Sale In Imadol, Lalitpur",Lalitpur,25000000
"Ghar Bikrima : House For Sale In Imadol, Lalitpur",Lalitpur,21000000
"Land On Sale : Land For Sale In Godawari, Lalitpur",Lalitpur,420000
"House And Land On Sale : Land For Sale In Godawari, Lalitpur",Lalitpur,2000000
"Furnished Flat Rent In Baghdol : Flat For Rent In Baghdol, Lalitpur",Lalitpur,50000
"Harmony Residency : House For Sale In Bhaisepati, Lalitpur",Lalitpur,35200000
"Harmony Residency : House For Sale In Bhaisepati, Lalitpur",Lalitpur,37100000
"Harmony Residency : House For Sale In Bhaisepati, Lalitpur",Lalitpur,34500000
"3 Flats On Rent : Flat For Rent In Imadol, Lalitpur",Lalitpur,30000
"Flat For Rent In Jhamsikhel, Lalitpur",Lalitpur,35000
"Flat For Rent In Jhamsikhel, Lalitpur",Lalitpur,35000
"Land Sale In Lele : Land For Sale In Lele, Lalitpur",Lalitpur,700000
"Harmony Residency : House For Sale In Bhaisepati, Lalitpur",Lalitpur,28200000
"House For Sale In Dhapakhel, Lalitpur",Lalitpur,17700000
"House For Sale In Bhaisepati, Lalitpur",Lalitpur,37500000
"Flat For Rent At Jawalakhel : Apartment For Rent In Jawalakhel, Lalitpur",Lalitpur,55000
"Flat On Rent At Man Bhawan : House For Rent In Jawalakhel, Lalitpur",Lalitpur,75000
"Flat System : House For Sale In Tikathali, Lalitpur",Lalitpur,21500000
"Boutique On Sale : Business For Sale In Kumaripati, Lalitpur",Lalitpur,2300000
"Karyabinayak Colony House For Sale : House For Sale In Bhaisepati, Lalitpur",Lalitpur,30000000
"BEAUTIFUL HOUSE FOR RENT IN RESIDENTIAL AREA! : House For Rent In Kupondole, Lalitpur",Lalitpur,273258
"House On Sale At Imadole : House For Sale In Imadol, Lalitpur",Lalitpur,20000000
"Prime Location House Is For Sale : House For Sale In Gwarko, Lalitpur",Lalitpur,17500000
"Beautiful Designed House In Peaceful Area Is On Sale : House For Sale In Imadol, Lalitpur",Lalitpur,19500000
"House On Rent : House For Rent In Bakhundol, Lalitpur",Lalitpur,280000
"Flat For Rent : Flat For Rent In Kusunti, Lalitpur",Lalitpur,25000
"House For Sale In Imadol, Lalitpur",Lalitpur,19500000
"Civil Home Khumaltar House On Rent : House For Rent In Dhapakhel, Lalitpur",Lalitpur,60000
"Newly Constructed House : House For Sale In Tikathali, Lalitpur",Lalitpur,20000000
"House For Sale In Imadol, Lalitpur",Lalitpur,23500000
"Luxurious And Spacious 4 Bhk Flat In A Posh Location At Sanepa : Flat For Rent In Sanepa, Lalitpur",Lalitpur,80000
"Modern, Earthquake-Resistant House For Sale : House For Sale In Tikathali, Lalitpur",Lalitpur,40000000
"Flat For Rent : Flat For Rent In Thaiba, Lalitpur",Lalitpur,18000
"First Floor Flat At Bhaisepati : Flat For Rent In Bhaisepati, Lalitpur",Lalitpur,25000
"Vinayak Colony House On Rent : House For Rent In Bhaisepati, Lalitpur",Lalitpur,60000
"One Room At Dhobighat : Flat For Rent In Dhobighat, Lalitpur",Lalitpur,10000
"Flat At Sanepa : Flat For Rent In Sanepa, Lalitpur",Lalitpur,25000
"First Floor Flat At Dhobighat : Flat For Rent In Dhobighat, Lalitpur",Lalitpur,20000
"Full Furnished House On Rent Karyabinayak Colony : House For Rent In Karyabinayak, Lalitpur",Lalitpur,100000
"House : House For Rent In Bakhundol, Lalitpur",Lalitpur,270000
"Land For Sale : Land For Sale In Imadol, Lalitpur",Lalitpur,2700000
"Full Furnished House On Rent At Bhaisepati : House For Rent In Bhaisepati, Lalitpur",Lalitpur,150000
"Full Furnished House For Rent At Civil Homes Sunakothi Phase III : House For Rent In Civil Homes, Lalitpur",Lalitpur,60000
"1.5 Storey : House For Sale In Imadol, Lalitpur",Lalitpur,13000000
"1.5 Storey House : House For Sale In Imadol, Lalitpur",Lalitpur,12700000
"1.5 Storey : House For Sale In Imadol, Lalitpur",Lalitpur,11000000
"House For Sale In Imadol, Lalitpur",Lalitpur,12000000
"House For Rent At Civil Homes Sunakothi Phase III : House For Rent In Civil Homes, Lalitpur",Lalitpur,65000
"One And Half Storied : House For Sale In Tikathali, Lalitpur",Lalitpur,12500000
"1.5 Storey House : House For Sale In Tikathali, Lalitpur",Lalitpur,11500000
"Apartment For Rent In Dhapakhel, Lalitpur",Lalitpur,60000
"One And Half Storied : House For Sale In Tikathali, Lalitpur",Lalitpur,15000000
"One And Half Storied : House For Sale In Tikathali, Lalitpur",Lalitpur,11000000
"House On Rent At Karyabinay Colony : House For Rent In Bhaisepati, Lalitpur",Lalitpur,50000
"House For Rent In Kupondole : House For Rent In Kupondole, Lalitpur",Lalitpur,400000
"कान्तिपुर कोलोनीमा ( Lalitpur) नयाँ घर बिक्रिमा !! 192 Lakh (Negotiable ) : House For Sale In Nakhipot, Lalitpur",Lalitpur,22200000
"One And Half Storied : House For Sale In Imadol, Lalitpur",Lalitpur,12000000
"House For Sale In Chakupat, Lalitpur",Lalitpur,8700000
"House For Sale In Tikathali : House For Sale In Tikathali, Lalitpur",Lalitpur,12500000
"House For Sale In Tikathali : House For Sale In Tikathali, Lalitpur",Lalitpur,130000
"Fully Furnished House For Sale At Imadol, Sital Height : House For Sale In Imadol, Lalitpur",Lalitpur,23500000
"House For Sale In Imadol, Lalitpur",Lalitpur,27000000
"House For Sale In Satdobato, Lalitpur",Lalitpur,3700000
"Brand New : House For Sale In Imadol, Lalitpur",Lalitpur,21000000
"House For Sale In Bhaisepati, Lalitpur",Lalitpur,28500000
"Attractive Flat For Rent : Apartment For Rent In Dhapakhel, Lalitpur",Lalitpur,30000
"Imadol Ko 20 Feet Ko Batoko Ghar Bikrima : House For Sale In Imadol, Lalitpur",Lalitpur,19000000
"House For Sale In Gwarko, Lalitpur",Lalitpur,21000000
"Brand New 3 BHK : Apartment For Rent In Balkumari, Lalitpur",Lalitpur,50000
"Sale-Imperial Apartment Sanepa : Apartment For Sale In Sanepa, Lalitpur",Lalitpur,45000000
"Flat For Rent In Imadol, Lalitpur",Lalitpur,15000
"Dhapakhel : Land For Sale In Dhapakhel, Lalitpur",Lalitpur,1200000
"Luxurious Bungalow : House For Sale In Dhobighat, Lalitpur",Lalitpur,90000000
"Hattiban Height : House For Rent In Hattiban, Lalitpur",Lalitpur,150000
"New House On Sale In Imadol Height : House For Sale In Imadol, Lalitpur",Lalitpur,19000000
"House For Sale In Imadol, Lalitpur",Lalitpur,21500000
"House For Sale In Imadol, Lalitpur",Lalitpur,22500000
"3 BHK - Fully Furnished : Apartment For Sale In Balkumari, Lalitpur",Lalitpur,18000000
"House For Sale In Imadol, Lalitpur",Lalitpur,15000000
"Full- Furnished : House For Sale In Imadol, Lalitpur",Lalitpur,20000000
"New : House For Sale In Imadol, Lalitpur",Lalitpur,18500000
"Neo-Classical : House For Sale In Imadol, Lalitpur",Lalitpur,22000000
"Modern House : House For Sale In Imadol, Lalitpur",Lalitpur,19500000
"New : House For Sale In Lubhu, Lalitpur",Lalitpur,17000000
"House For Sale In Imadol, Lalitpur",Lalitpur,17500000
"House For Sale In Imadol, Lalitpur",Lalitpur,17500000
"Imadol Ko Ghar Bikrima : House For Sale In Imadol, Lalitpur",Lalitpur,19000000
"Land For Sale In Lubhu, Lalitpur",Lalitpur,1600000
"इमाडोल ओचुमा  Semi Commercial जग्गा बिक्रमा : Land For Sale In Imadol, Lalitpur",Lalitpur,3000000
"Imadol Buddha Party Palace Najik Ko Ghar Bikrima : House For Sale In Imadol, Lalitpur",Lalitpur,18000000
"2.5 Storey : House For Sale In Imadol, Lalitpur",Lalitpur,17000000
"Land For Sale In Imadol, Lalitpur",Lalitpur,2400000
"Newly Built : House For Sale In Imadol, Lalitpur",Lalitpur,17000000
"Land For Sale In Imadol, Lalitpur",Lalitpur,2800000
"12 Th Floor B 1 Block : Apartment For Rent In Sanepa, Lalitpur",Lalitpur,150000
"House For Sale In Imadol, Lalitpur",Lalitpur,22000000
"Office Sapce @ Imadol : Office Space For Rent In Imadol, Lalitpur",Lalitpur,65000
"Imadol Ko Ghar Bikrima : House For Sale In Imadol, Lalitpur",Lalitpur,19700000
"House For Sale In Thaiba, ( Comfort Housing,) : House For Sale In Thaiba, Lalitpur",Lalitpur,20000000
"House : House For Sale In Imadol, Lalitpur",Lalitpur,18000000
"House For Sale In Harisiddhi, Lalitpur",Lalitpur,35000000
"G.M. Complex : Office Space For Rent In Lagankhel, Lalitpur",Lalitpur,100
"Plotted Land For Sale At Prime Location In Kantipur Colony, Nakhipot : Land For Sale In Nakhipot, Lalitpur",Lalitpur,3100000
"Land For Sale : Land For Sale In Lele, Lalitpur",Lalitpur,350000
"New Modern : House For Sale In Hattiban, Lalitpur",Lalitpur,37500000
"Colony House For Rent : House For Rent In Godawari, Lalitpur",Lalitpur,35000
"Road Ko Najik : House For Sale In Imadol, Lalitpur",Lalitpur,19000000
"1 Talle New House : House For Sale In Imadol, Lalitpur",Lalitpur,11000000
"New House On Sale In Imadol Height : House For Sale In Imadol, Lalitpur",Lalitpur,19200000
"House For Rent In Jhamsikhel, Lalitpur",Lalitpur,150000
"HOUSE IN PRIME COLONY : House For Rent In Jhamsikhel, Lalitpur",Lalitpur,150000
"House For Sale In Harisiddhi, Lalitpur",Lalitpur,28000000
"Land For Sale In Imadol, Lalitpur",Lalitpur,3700000
"House For Sale In Imadol, Lalitpur",Lalitpur,6500000
"Land For Sale In Harisiddhi, Lalitpur",Lalitpur,3000000
"Modern Bungalow : House For Sale In Kusunti, Lalitpur",Lalitpur,38500000
"Apartment For Rent In Sanepa, Lalitpur",Lalitpur,235000
"Flat For Rent In Dhapakhel, Lalitpur",Lalitpur,18000
"House For Rent In Hattiban, Lalitpur",Lalitpur,60000
"House For Sale In Sano Gaun, Lalitpur",Lalitpur,14500000
"House For Sale Satdobato Only Land Cost! : House For Sale In Satdobato, Lalitpur",Lalitpur,70000000
"House Sale At Sanepa, Land Cost Only : House For Sale In Sanepa, Lalitpur",Lalitpur,25000000
"Akarsak Thau Ko Ghar Bikri Ma!! : House For Sale In Imadol, Lalitpur",Lalitpur,16000000
"House For Sale In Imadol, Lalitpur",Lalitpur,13500000
"House For Sale In Imadol, Lalitpur",Lalitpur,12000000
"Land For Sale In Bhaisepati, Lalitpur",Lalitpur,2700000
"House For Sale At Civil Homes, Dhapakhel : House For Sale In Dhapakhel, Lalitpur",Lalitpur,36000000
"House For Rent : House For Rent In Bakhundol, Lalitpur",Lalitpur,180000
"House For Sale In Imadol, Lalitpur",Lalitpur,22500000
"House For Sale At Southern Heights Housing, Thaiba LLalitpur : House For Sale In Thaiba, Lalitpur",Lalitpur,35000000
"Land For Sale In Chakupat, Lalitpur",Lalitpur,4000000
"Land For Sale In Lagankhel, Lalitpur",Lalitpur,5000000
"Land For Sale In Lubhu, Lalitpur",Lalitpur,1250000
"60 Feet Faced Land On Main Road : Land For Sale In Mahalaxmisthan, Lalitpur",Lalitpur,4300000
"Apartment For Rent In Jhamsikhel, Lalitpur",Lalitpur,40000
"Bhelpa House On Rent : House For Rent In Gwarko, Lalitpur",Lalitpur,45000
"House For Sale In Tikathali, Lalitpur",Lalitpur,17000000
"New Modern And Beautiful House : House For Sale In Thaiba, Lalitpur",Lalitpur,19000000
"House Near Kist Hospital Imadole : House For Sale In Imadol, Lalitpur",Lalitpur,18000000
"House For Sale In Tikathali, Lalitpur",Lalitpur,17000000
"Land For Sale In Godawari, Lalitpur",Lalitpur,1100000
"House For Sale In Harisiddhi, Lalitpur",Lalitpur,15500000
"5 Ana Land On Sale In Vibor Planning, Chunikhel Bhaiseapti : Land For Sale In Bhaisepati, Lalitpur",Lalitpur,2500000
"2 Floors Flats Available For Office Rent In Kupondole : Flat For Rent In Kupondole, Lalitpur",Lalitpur,95000
"Immediate Sale Of 4 Ana Land In Vip Area Of Bhaisepati : Land For Sale In Bhaisepati, Lalitpur",Lalitpur,3500000
"5 Ana Land On Sale In Hattiban , Saatdobato : Land For Sale In Hattiban, Lalitpur",Lalitpur,2300000
"House At Shankhamul For Sale : House For Sale In Patan, Lalitpur",Lalitpur,17600000
"House For Sale In Bhaisepati, Lalitpur",Lalitpur,25000000
"House Sell On Imadol : House For Sale In Imadol, Lalitpur",Lalitpur,23800000
"Business For Rent In Jawalakhel, Lalitpur",Lalitpur,200000
"Land For Sale In Lubhu, Lalitpur",Lalitpur,1000000
